"dates","et_mm8"
"20010101",31.8743820204515
"20010109",13.0046605876393
"20010117",14.4867694404966
"20010125",12.7652714164141
"20010202",10.3198425250997
"20010210",12.7841122496857
"20010218",12.0720822184992
"20010226",12.6213256447425
"20010306",11.65222653271
"20010314",28.7167693356116
"20010322",26.9681254895229
"20010330",27.4078428288548
"20010407",26.4842917624767
"20010415",34.0348786011337
"20010423",27.9988927635659
"20010501",21.7895758911606
"20010509",23.1770066596565
"20010517",19.216
"20010525",NA
"20010602",25.8780818354447
"20010610",32.3492000770347
"20010618",18.8129108804655
"20010704",23.2377098943324
"20010712",NA
"20010720",24.5305683281221
"20010728",24.262104691894
"20010805",27.1528602461984
"20010813",32.6481930877393
"20010821",23.6936815527524
"20010829",NA
"20010906",20.8847271648873
"20010914",33.3049202647702
"20010922",29.531867842931
"20010930",26.3969998087223
"20011008",26.9827474798214
"20011016",16.1838682432432
"20011024",17.8909868421053
"20011101",20.9967690019761
"20011109",15.7416692095099
"20011117",21.4419096877805
"20011125",23.2814934116023
"20011203",18.2727785709786
"20011211",9.56857360793288
"20011219",7.61252043980829
"20011227",6.69802620975685
"20020101",13.0025468921369
"20020109",20.2241447372891
"20020117",14.8461609147026
"20020125",11.1461564115391
"20020202",11.4796948508385
"20020210",19.3399284349861
"20020218",13.9875511709653
"20020226",13.5476775099968
"20020306",16.6440068060195
"20020314",16.2597518077831
"20020322",16.8050785430986
"20020330",21.8303419596777
"20020407",26.4844068903161
"20020415",31.2861070831598
"20020423",25.3896380605318
"20020501",25.1584333523676
"20020509",21.5237374749499
"20020517",25.9631240034613
"20020525",32.5827770167976
"20020602",NA
"20020610",19.7025186836781
"20020618",27.2097182657693
"20020626",30.5414193330946
"20020704",30.520068880976
"20020712",NA
"20020720",22.3068052930057
"20020728",21.5059398730885
"20020805",NA
"20020813",NA
"20020821",23.5666323653792
"20020829",21.6272727272727
"20020906",24.489581736224
"20020914",19.353127975357
"20020922",23.0459111216142
"20020930",28.8446931675602
"20021008",33.7074012634571
"20021016",28.668924463946
"20021024",20.0542773014411
"20021101",19.1535027835707
"20021109",30.6313611310317
"20021117",19.483981264637
"20021125",18.901313690033
"20021203",17.2447451299431
"20021211",15.9899760472371
"20021219",10.9942711785116
"20021227",4.6117619711762
"20030101",8.13933442098427
"20030109",14.2562103617294
"20030117",20.4686157489478
"20030125",21.8147417041277
"20030202",16.3198506787829
"20030210",21.5936267893918
"20030218",23.4389192767307
"20030226",32.4769830439508
"20030306",24.4435512742824
"20030314",30.6553361667264
"20030322",NA
"20030330",19.2426789904144
"20030407",17.4612246335672
"20030415",22.748154798413
"20030423",25.8772301296758
"20030501",41.2212152835544
"20030509",37.5711338139481
"20030517",28.8514061332528
"20030525",20.6819992198567
"20030602",33.7733290693956
"20030610",30.1377830858063
"20030618",32.021530333691
"20030626",30.9710050846142
"20030704",34.078997253487
"20030712",43.2314435236083
"20030720",30.4147350495843
"20030728",38.3508493942935
"20030805",24.3600489742709
"20030813",20.8112873500118
"20030821",18.2587364133443
"20030829",22.2696961897163
"20030906",NA
"20030914",29.557444650238
"20030922",37.3687850102197
"20030930",34.0517933870581
"20031008",27.3111092032191
"20031016",20.1311613216715
"20031024",22.8439924670433
"20031101",28.8679481631364
"20031109",21.4302529460705
"20031117",24.4380711443326
"20031125",16.5202558252984
"20031203",10.7731949949483
"20031211",9.58565009161899
"20031219",11.6851661700665
"20031227",7.69860633017469
"20040101",16.7296066963761
"20040109",13.8020306327535
"20040117",13.1389435336976
"20040125",10.545501353359
"20040202",8.22813884670184
"20040210",17.8767225638371
"20040218",16.1930505072424
"20040226",19.4621856238402
"20040305",17.4762336744353
"20040313",19.5345807247202
"20040321",14.8484680250038
"20040329",16.1598060707318
"20040406",21.2051962668523
"20040414",32.0693996513402
"20040422",36.8450302463361
"20040430",23.2627861527574
"20040508",38.2165173911194
"20040516",21.7997298824194
"20040524",26.348833819242
"20040601",34.9523630327099
"20040609",NA
"20040617",36.1295641458884
"20040625",34.8886887091441
"20040703",27.3921080440959
"20040711",22.0649883900929
"20040719",NA
"20040727",26.9114645651174
"20040804",33.2901584663373
"20040812",29.6716552088842
"20040820",29.9411033841982
"20040828",NA
"20040905",28.0563590358237
"20040913",25.3796302551828
"20040921",29.6571451422544
"20040929",24.5807327870397
"20041007",25.9030637710188
"20041015",20.5681389203473
"20041023",19.0806251445309
"20041031",24.226821116349
"20041108",26.561921496791
"20041116",14.8906377275507
"20041124",9.8
"20041202",13.4447087474565
"20041210",13.5975043146723
"20041218",22.9084803132827
"20041226",11.1941389346389
"20050101",11.2422914119569
"20050109",9.24080890070674
"20050117",16.6886883597754
"20050125",17.9891823382766
"20050202",17.2617404916022
"20050210",17.2497116844485
"20050218",11.9471496027968
"20050226",11.623997307455
"20050306",15.2517493630831
"20050314",13.8453306523682
"20050322",15.497688261865
"20050330",20.6709486515382
"20050407",28.3276043202233
"20050415",20.1138989628095
"20050423",30.9030414909254
"20050501",32.5280054327211
"20050509",37.5078667665877
"20050517",34.8064863938064
"20050525",25.7537948138152
"20050602",NA
"20050610",NA
"20050618",20.6621565171986
"20050626",28.5926409495549
"20050704",38.247086755456
"20050712",42.1114090832327
"20050720",28.3439063190455
"20050728",29.4778382344641
"20050805",18.2164325053389
"20050813",NA
"20050821",21.0735752601898
"20050829",NA
"20050906",16.8
"20050914",22.8813100884502
"20050922",31.9536398139804
"20050930",35.6202182150261
"20051008",24.6090909090909
"20051016",20.7029484029484
"20051024",19.1346062836861
"20051101",24.4001809318739
"20051109",23.6994836904337
"20051117",8.85
"20051125",14.8504531469252
"20051203",11.162188801951
"20051211",7.55213849287169
"20051219",10.9681612779869
"20051227",8.06429257114545
"20060101",13.6753560047799
"20060109",18.0796229209794
"20060117",17.2300213499178
"20060125",17.4381086651334
"20060202",16.3045147892199
"20060210",13.0865743846304
"20060218",20.6556031094419
"20060226",13.6778252229299
"20060306",18.8502755443129
"20060314",19.4032276962248
"20060322",22.9795681821458
"20060330",32.1230945053363
"20060407",26.7697240080119
"20060415",36.1471896169079
"20060423",25.4937239169907
"20060501",37.1143592560875
"20060509",36.4026896013787
"20060517",33.5861833871169
"20060525",28.0791201359087
"20060602",26.628670469981
"20060610",27.3422480171623
"20060618",25.6079633144189
"20060626",28.7593304746438
"20060704",27.610488997555
"20060712",34.4182975871314
"20060720",38.8630139044645
"20060728",18.9046205147024
"20060805",23.0731378706381
"20060813",NA
"20060821",21.4191387559809
"20060829",34.3971633541279
"20060906",36.3319881218267
"20060914",35.2853947361714
"20060922",29.1134312249577
"20060930",32.1332647007162
"20061008",31.8348961053666
"20061016",31.5095023015877
"20061024",23.8910900704054
"20061101",21.9898745254543
"20061109",28.2016031573217
"20061117",29.5407827740907
"20061125",24.636452221343
"20061203",13.6031909235951
"20061211",9.38422168810971
"20061219",15.5899040689518
"20061227",9.3101069177183
"20070101",15.5982224320542
"20070109",14.7659982478341
"20070117",12.0502377807133
"20070125",15.8008029488064
"20070202",19.8429666637496
"20070210",15.1169271471265
"20070218",14.6509626628718
"20070226",14.1045173682392
"20070306",13.3600519493946
"20070314",14.9775076567361
"20070322",24.9878964053911
"20070330",26.2869582136617
"20070407",20.4059986366735
"20070415",34.796803288269
"20070423",35.7743824482355
"20070501",28.905672006756
"20070509",40.5362785809348
"20070517",34.1398428176196
"20070525",33.8678436953605
"20070602",30.1839645684687
"20070610",NA
"20070618",35.637284142529
"20070626",25.8251111316911
"20070704",36.1930007260385
"20070712",33.2069526110566
"20070720",32.460995053929
"20070728",34.2867082811144
"20070805",NA
"20070813",25.2579089082837
"20070821",25.2192187377806
"20070829",20.3273579013117
"20070906",23.41
"20070914",24.729518907782
"20070922",28.4565693100642
"20070930",17.0290465631929
"20071008",NA
"20071016",18.8
"20071024",18.73012
"20071101",19.5496675084639
"20071109",20.2860890533079
"20071117",12.1111544220146
"20071125",11.5057539262317
"20071203",17.4147674418605
"20071211",21.0081692684515
"20071219",13.01632918472
"20071227",8.29401809848396
"20080101",20.8085185401801
"20080109",15.5050517544137
"20080117",15.6904257381252
"20080125",NA
"20080202",8.67623425944433
"20080210",NA
"20080218",15.7592333735644
"20080226",17.5193003439959
"20080305",21.9957553798093
"20080313",17.6265107592367
"20080321",19.1362593208478
"20080329",16.4193113493093
"20080406",23.7642895487654
"20080414",25.9914630560928
"20080422",24.375436975437
"20080430",27.17960964754
"20080508",29.2946243747263
"20080516",26.1742470788304
"20080524",24.1112064400908
"20080601",31
"20080609",30.6815941400953
"20080617",33.3327160136582
"20080625",NA
"20080703",23.1309247495724
"20080711",22.4157894736842
"20080719",27.7056680830618
"20080727",23.1023017319964
"20080804",28.159065709259
"20080812",28.3180720720721
"20080820",32.0184473783401
"20080828",27.4172302668787
"20080905",NA
"20080913",24.9893180010125
"20080921",22.7842110271134
"20080929",19.444724804289
"20081007",24.0343253968254
"20081015",24.6980035492458
"20081023",16.7316103692066
"20081031",18.1033264999317
"20081108",19.0361114442397
"20081116",NA
"20081124",12.2125771696294
"20081202",14.0689833018434
"20081210",13.7482736449345
"20081218",10.9869130740786
"20081226",NA
"20090101",10.8233606557377
"20090109",10.6251972790197
"20090117",16.5302580571911
"20090125",14.7574684943686
"20090202",20.9080292125138
"20090210",21.5514445175648
"20090218",22.6680647698008
"20090226",15.146322995205
"20090306",14.6812021412365
"20090314",18.5902310525239
"20090322",24.8012744517634
"20090330",20.9174447949527
"20090407",23.7179139755964
"20090415",42.8411531153004
"20090423",27.3379187034546
"20090501",27.2110068861408
"20090509",20.2348562232732
"20090517",25.5153663126474
"20090525",28.9147521332792
"20090602",28.8353087064352
"20090610",25.7048729438914
"20090618",32.9238173514184
"20090626",22.7786082080041
"20090704",31.9905859194071
"20090712",33.4893733235796
"20090720",32.816518507145
"20090728",NA
"20090805",NA
"20090813",26.6276188856385
"20090821",34.6727013987036
"20090829",27.4638958585684
"20090906",30.8812020627163
"20090914",28.9461737661331
"20090922",NA
"20090930",30.444909089266
"20091008",27.2913905679149
"20091016",17.3205090909091
"20091024",21.1723542689147
"20091101",22.1223418221062
"20091109",28.6604378231283
"20091117",19.4111616304326
"20091125",21.8113586896045
"20091203",17.7519617292844
"20091211",14.9035401014101
"20091219",19.1525424822329
"20091227",9.48396739130435
"20100101",16.9836252036304
"20100109",15.0264399756246
"20100117",11.9467403387396
"20100125",17.6407390961828
"20100202",23.2170167499662
"20100210",22.1152393731103
"20100218",16.6699868152231
"20100226",30.905848540998
"20100306",16.8033736659761
"20100314",17.2498894245993
"20100322",13.7035974304069
"20100330",23.6797733620556
"20100407",22.1697866433082
"20100415",28.0144778810649
"20100423",25.0655968179375
"20100501",34.4760450510297
"20100509",33.8252772453174
"20100517",30.4935995677375
"20100525",19.120726172466
"20100602",NA
"20100610",25.0599019110435
"20100618",24.8505502332704
"20100626",30.8404679453468
"20100704",37.9389042492347
"20100712",28.3188585135547
"20100720",22.0743322504963
"20100728",23.8689942123729
"20100805",28.8642857142857
"20100813",26.163228245661
"20100821",16.7272171253823
"20100829",24.5406698703103
"20100906",23.8900821142445
"20100914",35.0199186240935
"20100922",23.2764971612517
"20100930",NA
"20101008",13.1328779599271
"20101016",21.3933847577009
"20101024",21.4317694519357
"20101101",14.6940743568733
"20101109",17.0035392028033
"20101117",12.6742125542802
"20101125",NA
"20101203",15.4565046618964
"20101211",18.7342267572241
"20101219",17.1216849423468
"20101227",11.3397495025082
"20110101",13.5304293324977
"20110109",9.85345077220077
"20110117",8.94720478023091
"20110125",12.9333333333333
"20110202",17.7190317275227
"20110210",17.4451373281333
"20110218",15.7550184737617
"20110226",20.5283946213932
"20110306",16.1483910319815
"20110314",23.4932827603731
"20110322",NA
"20110330",21.4992192599943
"20110407",20.160585441984
"20110415",18.5761145715827
"20110423",19.4268956561776
"20110501",31.2665954061244
"20110509",22.547026702069
"20110517",21.4869183494293
"20110525",30.5885691834314
"20110602",29.7112343966713
"20110610",27.7888444110296
"20110618",24.6903485733228
"20110626",32.8522936587083
"20110704",40.2344553149465
"20110712",NA
"20110720",31.4677488601014
"20110728",30.6463729253933
"20110805",26.3560722152546
"20110813",23.0446716632749
"20110821",33.2980798682901
"20110829",38.7378474649228
"20110906",24.4360309046806
"20110914",14.4476700251889
"20110922",NA
"20110930",NA
"20111008",20.8095225027442
"20111016",25.9638750487055
"20111024",NA
"20111101",16.44
"20111109",22.6382780082988
"20111117",25.5216768172182
"20111125",15.7551094430076
"20111203",9.57045639403525
"20111211",9.06374163470938
"20111219",NA
"20111227",6.08240740740741
"20120101",9.25530112923463
"20120109",10.0008338209479
"20120117",15.4201179523473
"20120125",13.3927891457668
"20120202",17.4093445928914
"20120210",21.306880953648
"20120218",17.5842454040948
"20120226",19.3883323847467
"20120305",13.4350982185635
"20120313",15.9216193947574
"20120321",19.3743944278298
"20120329",18.6906847059393
"20120406",30.053441487135
"20120414",31.0900176933778
"20120422",31.9975600039837
"20120430",32.3499049828619
"20120508",30.652232297794
"20120516",30.5080159349947
"20120524",30.1547231152037
"20120601",22.2553046654491
"20120609",NA
"20120617",23.3616369331336
"20120625",25.2492387824637
"20120703",30.724789843259
"20120711",31.0849826504442
"20120719",28.7876588341777
"20120727",26.1007826130303
"20120804",27.6317609315589
"20120812",NA
"20120820",26.3106966121051
"20120828",25.4908154102334
"20120905",24.5356599517772
"20120913",35.0677527485791
"20120921",26.3507274983081
"20120929",22.5661946926821
"20121007",34.6611169818018
"20121015",34.7183217833318
"20121023",27.0289555581985
"20121031",30.9375080743218
"20121108",26.449543200625
"20121116",27.6677938648399
"20121124",18.6645095877466
"20121202",14.9458258617254
"20121210",25.7272799805269
"20121218",19.6697662385098
"20121226",11.9716823185959
"20130101",9.29405772495756
"20130109",11.0632490282195
"20130117",15.3525722874123
"20130125",19.8404692082111
"20130202",20.6996066150381
"20130210",24.6135492314404
"20130218",21.0257787038521
"20130226",19.7683289801373
"20130306",20.0231565747725
"20130314",25.0364017727257
"20130322",21.658002999979
"20130330",20.934273969446
"20130407",20.6282878825786
"20130415",26.1939502603384
"20130423",36.2674229854886
"20130501",27.1779015059155
"20130509",37.016651457117
"20130517",31.8180628089154
"20130525",32.4385038687136
"20130602",32.9500461067878
"20130610",37.3178123938337
"20130618",34.8901555261416
"20130626",34.4029597263242
"20130704",28.6612811791383
"20130712",28.8622363702168
"20130720",13.6883720930233
"20130728",24.4470928829916
"20130805",21.3672070361075
"20130813",25.9507067943456
"20130821",29.3998657557234
"20130829",22.3323498315267
"20130906",15.8
"20130914",24.1348242104681
"20130922",22.8772754268317
"20130930",29.3351672008803
"20131008",32.9128863663912
"20131016",NA
"20131024",18.2640500819982
"20131101",15.9086307897336
"20131109",15.4625615763547
"20131117",13.1413861386139
"20131125",11.6634755463059
"20131203",14.3738967966543
"20131211",10.9144562998344
"20131219",9.99863460312791
"20131227",8.23279781696157
"20140101",20.3866146848603
"20140109",12.0049279594746
"20140117",15.8939568857414
"20140125",22.1019106976321
"20140202",21.2826129534832
"20140210",11.8640368291347
"20140218",13.6161753176904
"20140226",17.1627024390244
"20140306",15.0799464096155
"20140314",16.2860863992187
"20140322",18.3379452930769
"20140330",19.5741312680411
"20140407",23.6663376895991
"20140415",21.2265133766842
"20140423",18.4639800280855
"20140501",18.0388568451606
"20140509",28.9372818808348
"20140517",28.61291869965
"20140525",32.4341864086351
"20140602",32.2974590467719
"20140610",24.2543788323114
"20140618",30.4365696217766
"20140626",29.3079034356479
"20140704",27.6017796321526
"20140712",28.8261159723825
"20140720",28.8726550079491
"20140728",34.4358831075373
"20140805",32.5804081748028
"20140813",21.8593009321441
"20140821",24.9979499776686
"20140829",24.5890001607828
"20140906",32.8631066602627
"20140914",23.2378360364363
"20140922",30.7309363776666
"20140930",37.6015998037153
"20141008",31.3490420222187
"20141016",23.5988839997449
"20141024",24.5122722602962
"20141101",21.2093927242513
"20141109",18.8761783563241
"20141117",19.8370074645374
"20141125",22.5490932855903
"20141203",13.579621503328
"20141211",16.8380781283247
"20141219",13.9694686068883
"20141227",8.4664267334307
"20150101",17.7027783120886
"20150109",12.4628961709163
"20150117",17.7646691565862
"20150125",22.2156802236401
"20150202",17.1345161290323
"20150210",13.2583194389957
"20150218",25.6687555812079
"20150226",29.3494237709885
"20150306",18.5656360588564
"20150314",20.356033527417
"20150322",22.0727272727273
"20150330",31.2158695895731
"20150407",27.6227679661305
"20150415",39.0782627766499
"20150423",37.0353411782982
"20150501",33.2449305104478
"20150509",29.9551134681693
"20150517",29.8338655705741
"20150525",28.6580317073457
"20150602",32.473999816559
"20150610",32.2959199207423
"20150618",29.5513827352745
"20150626",47.1743926615952
"20150704",34.4805179638662
"20150712",26.9227404831951
"20150720",NA
"20150728",NA
"20150805",37.187238777562
"20150813",29.7995732495328
"20150821",33.6475381961045
"20150829",20.0213575004753
"20150906",27.1060100616877
"20150914",24.7029307318666
"20150922",39.7601722814322
"20150930",28.0457587656809
"20151008",22.7532637075718
"20151016",35.1451073222595
"20151024",35.8941891545531
"20151101",21.3906948493683
"20151109",30.8318221681313
"20151117",28.8797529488251
"20151125",20.1023532812642
"20151203",14.3117115959258
"20151211",12.1538444097802
"20151219",13.3459609091971
"20151227",8.86473009708738
"20160101",19.9226025662206
"20160109",13.5872029084887
"20160117",11.3314558015229
"20160125",9.92911051212938
"20160202",17.885380112965
"20160210",24.6534462050743
"20160218",19.4255825126111
"20160226",22.4026890254357
"20160305",18.9690950681191
"20160313",14.0622934434968
"20160321",13.1697801151274
"20160329",17.5739883320468
"20160406",24.1226952362385
"20160414",23.3919714441652
"20160422",17.9944909357317
"20160430",36.6874918897646
"20160508",32.8992002636409
