"dates","et_mm8"
"20040516",29.7963353735381
"20040524",29.0071317237164
"20040601",29.0703079737222
"20040609",24.3556681381823
"20040617",29.0722685050798
"20040625",26.6993961588047
"20040703",24.65693722511
"20040711",17.8333333333333
"20040719",22.9752541275494
"20040727",25.7965755151322
"20040804",37.8077631001756
"20040812",34.4815082236551
"20040820",30.5380827461952
"20040828",29.1777407233443
"20040905",36.0049016037218
"20040913",30.7204345201622
"20040921",37.7524338222155
"20040929",31.9267621950832
"20041007",31.7404516454852
"20041015",22.4891121441145
"20041023",19.47122660624
"20041031",15.5801528201856
"20041108",21.4046624536441
"20041116",16.238425185888
"20041124",15.947962345613
"20041202",13.2352911960184
"20041210",14.1478808054065
"20041218",15.0373316896783
"20041226",6.73055555555556
"20050101",NA
"20050109",7.69845160156422
"20050117",12.1138752627891
"20050125",10.0448941903889
"20050202",12.3444444444444
"20050210",10.8940320847406
"20050218",6.93290718736668
"20050226",9.62517361304239
"20050306",10.5831952142596
"20050314",NA
"20050322",NA
"20050330",11.5830493542297
"20050407",10.1343560137835
"20050415",NA
"20050423",24.269860842516
"20050501",27.7044028525718
"20050509",32.6506525975521
"20050517",20.6645972543878
"20050525",21.0768608446052
"20050602",16.0833333333333
"20050610",15.8903498190591
"20050618",18.4150107991361
"20050626",26.0273970261494
"20050704",33.3979137131558
"20050712",32.5270166943591
"20050720",31.4497058016289
"20050728",39.1537556562092
"20050805",28.0870715806608
"20050813",19.5328561821501
"20050821",26.7719300014403
"20050829",31.5163329139883
"20050906",35.2377407490348
"20050914",34.8105492762655
"20050922",37.3599239506128
"20050930",39.0097310068124
"20051008",34.6719200317184
"20051016",22.6261256781194
"20051024",18.7038798719495
"20051101",16.3511679014939
"20051109",17.9254849505063
"20051117",19.6849351373453
"20051125",20.2669507773912
"20051203",10.6666666666667
"20051211",11.1111259310035
"20051219",12.6884682868451
"20051227",8.15923125609402
"20060101",9.51621025124918
"20060109",9.9275641025641
"20060117",9.83089072558978
"20060125",13.2864186953507
"20060202",13.9460051648265
"20060210",11.2292549156168
"20060218",NA
"20060226",11.6034263996492
"20060306",NA
"20060314",NA
"20060322",16.9655094754087
"20060330",15.0148160655944
"20060407",18.4527213685336
"20060415",17.9385249546334
"20060423",22.3406055209261
"20060501",22.9823264635348
"20060509",28.2791660676
"20060517",24.9211117184627
"20060525",NA
"20060602",16.7624715561001
"20060610",20.1636606566944
"20060618",25.0610161069704
"20060626",27.9170548771295
"20060704",26.4944761558229
"20060712",25.7053092707
"20060720",37.1296779025367
"20060728",21.3989843028624
"20060805",32.8609805351433
"20060813",29.1044477749596
"20060821",24.6514335977285
"20060829",29.7339682044681
"20060906",40.0944128167043
"20060914",36.8214625336941
"20060922",27.2777852955967
"20060930",23.5568085873978
"20061008",25.3374689408296
"20061016",22.5364963977596
"20061024",24.7276074798465
"20061101",21.0012879690984
"20061109",22.3820660478295
"20061117",17.2720818399944
"20061125",14.6409602841886
"20061203",12.3397811363123
"20061211",13.3483937109552
"20061219",13.8798987949094
"20061227",7.47078097888274
"20070101",8.44520884520885
"20070109",12.2764137544594
"20070117",10.8107883930829
"20070125",11.2195943499146
"20070202",13.9697050110292
"20070210",12.2523361114118
"20070218",13.7096143441145
"20070226",13.5676125160737
"20070306",NA
"20070314",11.6302524604193
"20070322",NA
"20070330",14.2557891687362
"20070407",17.1917994892568
"20070415",27.0049569207468
"20070423",27.3302990936989
"20070501",26.7647429427197
"20070509",35.5341006222619
"20070517",31.3689151388297
"20070525",34.9245601176778
"20070602",20.0542479173817
"20070610",23.9230860963403
"20070618",30.7936736416865
"20070626",26.3912851253514
"20070704",27.7480664282742
"20070712",26.5178788844745
"20070720",22.4010953017714
"20070728",33.7628264132973
"20070805",24.3789990693827
"20070813",29.3391642726899
"20070821",23.9956882645517
"20070829",19.0228294402821
"20070906",19.7706176961603
"20070914",38.5418320026469
"20070922",36.4677487598386
"20070930",35.1887452528778
"20071008",32.8897815495299
"20071016",31.8434369519806
"20071024",26.0469096975857
"20071101",20.2784308762871
"20071109",23.2679077454438
"20071117",20.3659632960476
"20071125",16.5283958166324
"20071203",14.3831056861785
"20071211",11.6824297691464
"20071219",10.908275862069
"20071227",9.49801014168645
"20080101",17.9387820322033
"20080109",12.9186827619913
"20080117",10.1263756252842
"20080125",NA
"20080202",NA
"20080210",NA
"20080218",15.2190103953507
"20080226",15.5527134922798
"20080305",15.4603634845129
"20080313",NA
"20080321",15.3457989032128
"20080329",14.5807903402854
"20080406",18.4022884544867
"20080414",21.4484029541623
"20080422",14.6139270702784
"20080430",20.483009562154
"20080508",28.7871240353103
"20080516",27.2043883714031
"20080524",17.0607962801511
"20080601",NA
"20080609",17.8214132762313
"20080617",26.9759018172905
"20080625",20.0348899043614
"20080703",18.9292330204393
"20080711",15.3745454545455
"20080719",26.9703443179086
"20080727",28.9723928915089
"20080804",24.5748111868907
"20080812",28.5330363937508
"20080820",36.0431603348039
"20080828",28.8023547250013
"20080905",29.0062642566914
"20080913",33.3678333019849
"20080921",29.2736853915263
"20080929",38.7078251429073
"20081007",35.7881393494415
"20081015",25.3752206839742
"20081023",22.8173669133445
"20081031",17.9612831073539
"20081108",24.1483788987002
"20081116",18.9808294472007
"20081124",19.3119422451071
"20081202",18.0985934494216
"20081210",17.1902171019854
"20081218",11.6029787983234
"20081226",6.73531071195193
"20090101",15.7267526171272
"20090109",12.2588209956377
"20090117",13.1229351677815
"20090125",14.5518611934869
"20090202",20.3676379662392
"20090210",20.4835049695151
"20090218",17.7907852158071
"20090226",14.36
"20090306",11.6435111817146
"20090314",11.8207645677513
"20090322",14.6903138445586
"20090330",13.95625
"20090407",19.8900784019863
"20090415",25.6298883738883
"20090423",22.3304528080791
"20090501",24.7104316524868
"20090509",30.8758665097116
"20090517",23.862924125148
"20090525",37.005356416957
"20090602",31.1940973773539
"20090610",27.0587189106572
"20090618",22.5253859414798
"20090626",18.9648969672075
"20090704",35.7530059725483
"20090712",36.1267333289186
"20090720",32.7268546691404
"20090728",30.4958958243164
"20090805",36.3243938869847
"20090813",30.3815976245655
"20090821",36.841834419857
"20090829",37.073533373347
"20090906",32.6945617936343
"20090914",27.496598493762
"20090922",30.8139407042419
"20090930",31.7659023544732
"20091008",25.167529772278
"20091016",29.3574468715475
"20091024",30.5259222470265
"20091101",25.9863944964766
"20091109",22.4380259242948
"20091117",16.2024469621463
"20091125",21.9749018709279
