"dates","q_ca_0004","q_ca_0006","q_ht_0006","q_ma_0004","q_mk_0005","q_sd_0001","q_sk_0002"
2008-06-01,112.013,112.29,79.307,87.937,94.723,84.329,118.725
2008-07-01,107.739,95.977,90.703,106.709,89.976,88.953,124.012
2008-08-01,106.128,112.744,116.543,111.713,94.651,91.428,125.953
2008-09-01,92.715,84.267,123.952,116.485,71.024,83.232,84.1
2008-10-01,77.215,80.563,97.468,87.082,80.043,110.944,76.549
2008-11-01,83.954,57.001,76.015,84.336,66.084,120.767,67.374
2008-12-01,64.484,46.776,51.006,63.856,73.434,98.012,57.941
2009-01-01,66.061,58.947,57.175,67.61,95.589,78.214,91.546
2009-02-01,74.897,68.263,60.637,67.42,100.482,76.197,118.428
2009-03-01,83.717,78.285,51.686,48.707,115.909,91.147,130.903
2009-04-01,111.362,114.742,86.986,72.65,83.804,91.107,129.168
2009-05-01,113.346,99.693,118.229,95.414,96.284,93.747,130.665
2009-06-01,105.754,104.611,94.224,90.164,96.463,97.315,119.071
2009-07-01,102.462,127.567,130.848,117.579,96.997,100.083,122.685
2009-08-01,112.417,115.039,135.173,123.697,99.518,89.855,119.184
2009-09-01,111.889,112.571,114.597,118.551,87.684,79.827,103.212
2009-10-01,96.043,85.141,107.789,107.37,103.076,121.472,102.514
2009-11-01,89.523,83.743,72.434,84.159,105.433,118.486,98.224
2009-12-01,61.783,60.095,37.57,68.923,94.061,81.539,88.636
2010-01-01,67.875,64.15,53.991,74.124,101.092,80.81,108.275
2010-02-01,77.683,79.696,62.627,68.84,97.71,75.95,127.251
2010-03-01,67.126,70.007,55.318,49.933,106.934,59.549,151.019
2010-04-01,90.96,102.645,68.9,81.863,100.086,62.69,144.756
2010-05-01,123.538,108.809,92.02,101.238,97.345,89.686,135.525
2010-06-01,99.796,106.843,102.443,90.909,100.655,96.289,123.26
2010-07-01,103.508,104.056,107.075,101.488,98.064,95.53,118.642
2010-08-01,100.496,91.444,104.028,109.342,97.376,96.648,111.708
2010-09-01,98.001,103.928,111.924,117.105,91.755,87.666,98.833
2010-10-01,99.337,68.815,110.641,109.513,78.058,84.479,76.887
2010-11-01,62.894,56.147,73.369,82.594,64.959,110.774,56.952
2010-12-01,60.381,60.168,56.539,66.121,80.974,95.644,66.933
2011-01-01,41.382,46.715,34.711,48.955,83.087,84.594,72.03
2011-02-01,60.615,62.195,39.711,72.248,93.514,59.475,104.034
2011-03-01,73.97,80.363,54.524,69.091,101.986,89.177,108.55
2011-04-01,76.969,83.002,75.828,72.657,105.213,84.338,136.044
2011-05-01,102.957,100.814,104.857,90.663,99.121,100.54,135.326
2011-06-01,111.939,112.877,95.106,96.002,90.971,107.657,127.792
2011-07-01,114.148,124.155,120.121,121.392,102.747,105.745,130.535
2011-08-01,119.908,117.662,125.533,109.204,94.547,94.52,119.203
2011-09-01,77.296,70.231,134.238,93.895,67.069,76.473,87.541
2011-10-01,92.23,82.431,123.731,95.003,95.317,126.681,83.373
2011-11-01,87.423,71.952,84.288,84.958,99.748,128.334,103.6
2011-12-01,40.507,32.291,50.852,56.228,72.755,96.115,48.675
2012-01-01,57.353,53.028,38.098,69.625,88.686,81.623,103.299
2012-02-01,65.882,67.67,44.111,64.888,96.496,98.639,120.58
2012-03-01,71.915,69.897,53.211,48.612,91.017,85.097,147.49
2012-04-01,115.691,117.978,95.398,88.923,96.122,80.858,133.242
2012-05-01,98.431,110.788,94.681,80.89,92.731,90.512,120.288
2012-06-01,95.643,96.267,99.9,91.313,86.71,103.203,117.035
2012-07-01,120.262,111.311,102.961,107.745,95.307,120.47,133.759
2012-08-01,109.813,100.842,114.465,111.11,87.929,120.02,104.824
2012-09-01,110.937,103.652,123.859,107.668,72.626,81.15,97.572
2012-10-01,112.492,123.013,97.551,118.422,116.211,134.429,108.625
2012-11-01,87.603,83.991,79.529,82.99,106.187,112.29,118.904
2012-12-01,61.289,66.579,44.165,69.873,89.119,105.654,111.766
2013-01-01,56.63,62.943,39.403,68.933,99.331,85.416,89.701
